iteration,scaler,n_features,features,n_clusters,silhouette,calinski_harabasz,davies_bouldin
169,Robust,7,"['commod_trend_strength', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'commod_momentum_slope', 'glob_eq_vol_skew']",3,0.4511561989784241,2465.1298828125,0.8768378377983512
78,Standard,8,"['eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'glob_eq_rsi_mean']",4,0.4509660601615906,2331.06982421875,0.836059012090651
52,Standard,7,"['eq_idx_ret5d_mean', 'commod_trend_strength', 'glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'glob_eq_ret20d_std', 'sector_momentum_dispersion']",4,0.45091763138771057,1956.12451171875,0.8274047627341485
179,Robust,10,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'glob_eq_rsi_mean', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'commod_trend_strength', 'rsi_diff_qqq_spy']",3,0.4489186406135559,1890.986328125,0.8687275358092169
28,Standard,9,"['sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.4480440020561218,2336.644775390625,0.8788472216320684
110,Standard,5,"['sector_momentum_dispersion', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'glob_eq_ret20d_std', 'glob_eq_vol_skew']",4,0.4480413794517517,2197.651123046875,0.7966382454402634
145,Standard,9,"['commod_trend_strength', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'macd_diff_lqd_spy']",4,0.44735321402549744,2227.1376953125,0.9355851203432459
55,Robust,6,"['eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'sector_momentum_dispersion', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",4,0.4462975561618805,3004.664794921875,1.0180012910510843
143,Standard,7,"['sector_ma_ratio_spread', 'sector_momentum_dispersion', 'commod_trend_strength', 'glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy']",4,0.44618088006973267,2541.0185546875,0.9120188588688112
147,Standard,7,"['commod_trend_strength', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'glob_eq_rsi_mean']",3,0.4457925260066986,2481.514892578125,0.8341784686483266
96,Robust,6,"['macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'glob_eq_vol_skew', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",4,0.44510239362716675,2298.679931640625,0.8319213085251271
40,Robust,9,"['usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean', 'sector_ma_ratio_spread', 'commod_momentum_slope']",4,0.44486966729164124,1980.1173095703125,0.8549614514648689
133,Robust,7,"['eq_idx_ret5d_mean', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'macd_diff_lqd_spy', 'usd_vs_fxe_fxy_trend', 'sector_ma_ratio_spread', 'sector_momentum_dispersion']",4,0.4446476399898529,1815.566650390625,0.8391672748596206
189,Standard,5,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_momentum_slope', 'sector_momentum_dispersion', 'eq_idx_ret5d_mean']",4,0.44426092505455017,2484.18310546875,0.856375574129161
122,Robust,6,"['macd_diff_lqd_spy', 'rsi_diff_qqq_spy', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_rsi_mean', 'eq_idx_ret5d_mean']",3,0.44349297881126404,1868.1357421875,0.8784438960571556
98,Robust,7,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'commod_trend_strength', 'eq_idx_ret5d_mean', 'glob_eq_rsi_mean', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy']",4,0.4431540071964264,1612.2545166015625,0.8226205352044019
49,Standard,9,"['commod_momentum_slope', 'macd_diff_lqd_spy', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'sector_momentum_dispersion', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'rsi_diff_qqq_spy']",3,0.4430598318576813,2112.975830078125,0.8584604481443083
11,Standard,7,"['usd_vs_fxe_fxy_trend', 'macd_diff_lqd_spy', 'glob_eq_ret20d_std', 'glob_eq_rsi_mean', 'eq_idx_macd_diff_mean', 'commod_momentum_slope', 'sector_momentum_dispersion']",3,0.4428470730781555,2205.68896484375,0.8565244783975853
115,Standard,7,"['eq_idx_ret5d_mean', 'commod_momentum_slope', 'usd_vs_fxe_fxy_trend', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'rsi_diff_qqq_spy', 'glob_eq_ret20d_std']",4,0.44210660457611084,2600.30859375,0.9042962143681661
123,Robust,5,"['sector_momentum_dispersion', 'commod_momentum_slope', 'eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'eq_idx_ret5d_mean']",3,0.44152888655662537,2397.22021484375,0.8990718120314224
185,Standard,10,"['glob_eq_rsi_mean', 'glob_eq_vol_skew', 'commod_trend_strength', 'rsi_diff_qqq_spy', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'eq_idx_macd_diff_mean']",3,0.4413922429084778,1858.3077392578125,0.7791083205209648
106,Robust,9,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'glob_eq_ret20d_std', 'rsi_diff_qqq_spy', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend']",4,0.441077321767807,1804.3740234375,0.8394874504037756
16,Standard,8,"['macd_diff_lqd_spy', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'commod_momentum_slope', 'eq_idx_macd_diff_mean']",4,0.44102656841278076,2946.497314453125,0.9257822317743352
195,Standard,8,"['glob_eq_rsi_mean', 'sector_momentum_dispersion', 'glob_eq_vol_skew', 'eq_idx_ret5d_mean', 'glob_eq_ret20d_std', 'sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'commod_momentum_slope']",4,0.44093966484069824,1947.3837890625,0.8620760361169104
165,Standard,9,"['glob_eq_ret20d_std', 'eq_idx_macd_diff_mean', 'macd_diff_lqd_spy', 'sector_ma_ratio_spread', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'rsi_diff_qqq_spy', 'sector_momentum_dispersion', 'glob_eq_rsi_mean']",3,0.44042935967445374,1785.724609375,1.0004904082034598
36,Standard,10,"['glob_eq_rsi_mean', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'glob_eq_ret20d_std', 'eq_idx_ret5d_mean', 'rsi_diff_qqq_spy', 'glob_eq_vol_skew', 'macd_diff_lqd_spy', 'commod_trend_strength']",3,0.44005250930786133,1990.402099609375,0.8269452328236531
3,Robust,8,"['eq_idx_macd_diff_mean', 'commod_momentum_slope', 'eq_idx_ret5d_mean', 'usd_vs_fxe_fxy_trend', 'commod_trend_strength', 'glob_eq_rsi_mean', 'glob_eq_vol_skew', 'macd_diff_lqd_spy']",4,0.43937644362449646,1854.2967529296875,0.7954204653091181
90,Standard,9,"['glob_eq_rsi_mean', 'macd_diff_lqd_spy', 'commod_trend_strength', 'usd_vs_fxe_fxy_trend', 'eq_idx_macd_diff_mean', 'sector_momentum_dispersion', 'commod_momentum_slope', 'sector_ma_ratio_spread', 'glob_eq_vol_skew']",4,0.43931224942207336,3213.029052734375,0.8875726784769276
62,Standard,8,"['sector_ma_ratio_spread', 'macd_diff_lqd_spy', 'eq_idx_macd_diff_mean', 'usd_vs_fxe_fxy_trend', 'glob_eq_ret20d_std', 'commod_trend_strength', 'glob_eq_rsi_mean', 'eq_idx_ret5d_mean']",3,0.4388054609298706,2509.5087890625,0.8924389255209686
124,Standard,6,"['sector_ma_ratio_spread', 'commod_momentum_slope', 'glob_eq_vol_skew', 'rsi_diff_qqq_spy', 'glob_eq_ret20d_std', 'eq_idx_macd_diff_mean']",3,0.43875765800476074,2036.38427734375,0.9235376986036951
