scaler,method,k,n_components,n_neighbors,min_dist,metric,min_cluster_size,min_samples,selection_method,bic,aic,silhouette,calinski_harabasz,davies_bouldin
Quantile (uniform),HDBSCAN,48,5,8,0.01,correlation,10,20,leaf,,,0.6666774153709412,2876.25927734375,0.5998004165865846
Quantile (uniform),HDBSCAN,28,5,8,0.01,correlation,30,15,eom,,,0.5241521000862122,1203.5784912109375,0.9746198575298426
Quantile (uniform),HDBSCAN,31,5,8,0.01,correlation,30,15,leaf,,,0.5868226289749146,1206.0675048828125,0.827950432651226
Quantile (uniform),HDBSCAN,24,5,8,0.01,correlation,30,20,eom,,,0.5309484601020813,1229.561279296875,0.9846995088434367
Quantile (uniform),HDBSCAN,26,5,8,0.01,correlation,30,20,leaf,,,0.5608817338943481,1257.2655029296875,0.8850276581162275
Quantile (uniform),HDBSCAN,58,5,8,0.01,euclidean,10,15,eom,,,0.7028465270996094,3451.708251953125,0.36783132602743407
Quantile (uniform),HDBSCAN,73,5,8,0.01,euclidean,10,15,leaf,,,0.7444062829017639,8766.462890625,0.3384206315965471
Quantile (uniform),HDBSCAN,40,5,8,0.01,euclidean,10,20,eom,,,0.6822000741958618,3217.265869140625,0.38570626344184
Quantile (uniform),HDBSCAN,48,5,8,0.01,euclidean,10,20,leaf,,,0.7374807596206665,6757.35986328125,0.3645849632895242
Quantile (uniform),HDBSCAN,27,5,8,0.01,euclidean,30,15,eom,,,0.5813554525375366,1935.5302734375,0.5650211166380024
Quantile (uniform),HDBSCAN,31,5,8,0.01,euclidean,30,15,leaf,,,0.638752818107605,3149.906982421875,0.5016874495056282
Quantile (uniform),HDBSCAN,22,5,8,0.01,euclidean,30,20,eom,,,0.5297914743423462,1762.3504638671875,0.588018642531093
Quantile (uniform),HDBSCAN,28,5,8,0.01,euclidean,30,20,leaf,,,0.6377879977226257,2131.33984375,0.4808511774411098
Quantile (uniform),HDBSCAN,61,5,8,0.1,correlation,10,15,eom,,,0.6229033470153809,1712.5908203125,0.682645548595189
Quantile (uniform),HDBSCAN,66,5,8,0.1,correlation,10,15,leaf,,,0.634284496307373,1585.744873046875,0.7163912150766354
